iter	Passed	Remaining
0	1	142
1	2	128
2	3	122
3	4	113
4	6	114
5	7	111
6	8	110
7	9	108
8	10	106
9	11	105
10	12	104
11	14	103
12	15	103
13	16	102
14	17	101
15	19	100
16	20	99
17	21	97
18	22	96
19	23	94
20	24	93
21	25	91
22	27	90
23	28	89
24	29	87
25	30	86
26	31	84
27	32	83
28	33	82
29	34	81
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	58
48	54	57
49	55	55
50	56	54
51	58	53
52	59	52
53	60	51
54	61	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	111	2
98	112	1
99	113	0
